"","ID","TII"
"235","Aulacocyclus edentulus",160000
"236","Oileus sargi",110000
"237","Passalus",119000
"238","Verres",115000
"239","Heliscus tropicus",1e+05
"240","Odontotaenius zodiacus",96645.10838
"241","Petrejoides orizabae",96181.16691
"242","Yumtaax mazatecus",92764.08838
"243","Spurius bicornis",115000
"244","Chondrocephalus purulensis",104000
"245","Odontotaenius striatopunctatus",90484.15709
"246","Odontotaenius disjunctus",93901.60886
"247","Oileus bifidus",108000
"248","Passalus punctiger",104000
"249","Paxillus leachi",111000
"250","Ptichopus angulatus",104000
"251","Popilius",120000
"252","Chiron",171000
"253","Ectinohoplia rufipes",135000
"254","Hoplia",134000
"255","Glaresis",170000
"256","Trox",173000
"257","Serica",127000
"258","Maladera",116000
"259","Autoserica",123000
"260","Lichnanthe",168000
"262","Megasoma",128000
"263","Lamprima adolphinae",131000
"264","Sinodendron rugosum",120000
"265","Hemisodorcus rubrofemoratus",97360.62775
"266","Dorcus rectus",91412.87738
"267","Dorcus parallelipipedus",94706.14234
"268","Prosopocoilus",98893.18481
"269","Lucanus maculifemoratus",92765.54906
"270","Prosopocoilus inclinatus",102000
"271","Figulus punctatus",96139.44847
"272","Figulus binodulus",84849.9057
"273","Figulus boninensis",84831.27229
"274","Lucanus cervus",107000
"275","Odontolabis",111000
"276","Cotalpa lanigera",167000
"277","Pelidnota punctata",175000
"278","Orphnus",160000
"279","Homaloplia",162000
"280","Enochrus falcarius",196000
